itemID,title,author,publisher,main topic,subtopics
21536,"Spongebob Comics: Book 2: Aquatic Adventurers, Unite!",Stephen Hillenburg,AMULET BOOKS,YFC,[YFQ]
28466,Nelly and the Flight of the Sky Lantern,Roland Chambers,Oxford Childrens Books,YFC,"[5AG,5AH,4CD,YFQ]"
41447,Luzia,Luz Ortiz,Lulu.com,YFB,[]
75882,Jose y su Historia,Luis Ramos,Lulu.com,YFB,[]
1235,Escape to Freedom,Vancy Kasper,FITZHENRY & WHITESIDE,YFT,[1D]
28379,Flesh and Blood,Chris Priestley,Barrington Stoke Ltd,YFB,[5AR]
67848,Sydney & Simon,Paul Reynolds,"Charlesbridge Publishing,U.S.",YFB,[]
7924,Split Second Solution,Denny Taylor,Garn Press,FMT,[]
9001,Stealth of the Ninja,Philip Roy,Ronsdale Press,YXZG,[YFC]
64237,The Safest Lies,Megan Miranda,EMBER,YFCB,[YFM]
1103,Rock on,Matt Christopher,LITTLE BROWN & CO,YFR,[]
3031,Margie Makes a Difference,Dawn Brotherton,"Blue Dragon Publishing, LLC",YNWD3,[YFR]
25367,Lockwood & Co.: The Creeping Shadow,Jonathan Stroud,DISNEY-HYPERION,YFCF,[YFD]
45358,"The Warlord, The Warrior, The War",Steven Hammond,Rockhopper Books,FJ,[FL]
51560,Captive of Circumstances,G. E. Dabbs,Westbow Press,FM,"[5PGM,FW]"
13014,"The Not-So-Pretty Pixies, Volume 4",Holly Anna,LITTLE SIMON,YFQ,[]
35904,Angel Souls and Devil Hearts,Christopher Golden,JournalStone,FMW,[]
18756,Haunted Sleepover,"B. A. Frade, Stacia Deutsch",LITTLE BROWN & CO,YFD,[YFQ]
10434,Yvor und Yvi 2,Sabrina Georgia,DerFuchs-Verlag,FN,"[FM,FMK,FMR,FRX]"
40424,Willow's Victory,Aleesah Darlison,PICTURE WINDOW BOOKS,YFC,"[YFH,YFP]"
61316,All My Springs Are In You,Gabriella Eva Nagy,HALO PUB INTL,YBG,[]
76163,All My Fingers and All My Toes   a Counting Book,Baby,Baby Professor,YBLC,[]
10871,The Secret of the Shadow Bandit,Linda Joy Singleton,ALBERT WHITMAN & CO,YFCF,[YXHB]
1399,PANCHTANTRA KI KATHAYE,Sharma Acharya Vishnu,V&S Publishers,YFJ,[]
20740,Capital Catch,David A. Kelly,TURTLEBACK BOOKS,YFCF,"[1KBB,YFR]"
39957,Dark Arena,Tom Palmer,Barrington Stoke Ltd,YFD,[]
44508,La Mascota De Justin,Clairmarie Field,Xlibris,YFB,[]
19994,The Great Wheel,Robert Lawson,WALKER & CO,YFA,[YFC]
75539,Memory Hunter,Frank Morin,Whipsaw Press,FMX,[]
59821,Clash of Alliances,Pierre Dimaculangan,Page Publishing Inc,FMB,[]
64339,TWIN TAILS of Mason Beach,Cindy M (CILLYart) Bowles,Cindy M Bowles dba CILLYart4U,YFJ,[]
73868,Tear & Crumple 1 Dual Language,Jennifer Wester,Lulu.com,YFB,[]
75251,Hari and His Electric Feet,Alexander McCall Smith,Barrington Stoke Ltd,YFB,[]
6643,Forget-Me-Not Land,Barbara Swift Guidotti,LIGHTNING SOURCE INC,YXHB,[YFH]
72138,Told Through the Eyes of a Horse,Diana Lynn,WESTBOW PR,YFK,[]
50163,Die Legenden von Shèngdi,Steve Erun,Books on Demand,FM,[1F]
50313,Once Upon an Apocalypse,Motes Jeff,Pine City Press,FLQ,[]
75340,Cricket,Felice Arena,PENGUIN AUSTRALIA,YFR,[]
45594,Thomas Templeton and the Whispers of Branson Manor,Emily A. Steward,Clean Reads,YFD,[]
4120,A Veil of Spears,Bradley Beaulieu,Orion Publishing Co,FM,[]
8116,Mad House,Bria Lin,Just Fiction Edition,FB,[]
54190,"STREGHE, FOLLETTI E FATE, FILASTROCCHE MAGICHE E FAVOLE INCANTATE","Iris Vignola Horion Enky Irene Ricco, Veronica Ric",Lulu.com,FM,[]
6341,Star Wars(TM) - Die letzten Jedi,Jason Fry,Penhaligon,FLS,"[FL,FM,FYT]"
26396,"Lieber Gott, ich sage dir Danke",,St. Benno,YZSG,"[5HKB,4Z-DE-BA,QRMB,YZG]"
7655,The Kind,Jule Owen,Jule Owen,FL,[]
76242,AFRO-BETS ABC Book,Cheryl W. Hudson,"Just Us Books, Inc.",YBLA,[]
70997,The Brave Little Tailor: A Grimm and Gross Retelling,J. E. Bright,STONE ARCH BOOKS,YFJ,[YFQ]
22160,"Zero-G, Volume 2","William Shatner, Jeff Rovin",Simon & Schuster,FL,[]
3472,Schlaue Buntstifte,Coloring Bandit,Coloring Bandit,YBG,[]
47838,Richie and the Magic Golden Pen,Cermalean Kimber,PAGE PUB,YFH,[]
59732,Die Insel des Dr. Moreau,Herbert George Wells,Projekt Gutenberg,FL,[]
51540,The Messenger Bird,Ruth Eastham,Vertebrate Publishing,YFCB,[5AK]
57018,"Barba blu, Le fate e Cappuccetto rosso","Carlo Collodi, Charles Perrault",Lulu.com,FM,[]
70223,L'uccello turchino,"Carlo Collodi, Marie Catherine D'Aulnoy",Lulu.com,FM,[]
13755,Princess Diana and Rods of the Ark,M. See,Austin Macauley,FM,[]
25399,Blutige Oblaten,Pit Vogt,Books on Demand,FM,[]
22622,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,HARPERCOLLINS,YFA,[YFQ]
47491,Is It Ok If This Monster Stays,Martyn Godfrey,FITZHENRY & WHITESIDE,YXPB,[YF]
11595,Fantastic Stories Presents,Allen M. Steele,Positronic Publishing,FLS,[]
27334,A Pony Called Secret: A Ride To Freedom,Olivia Tuffin,Nosy Crow Ltd,YFC,"[YFN,YFP]"
54929,Die Borribles,Michael de Larrabeiti,Klett-Cotta Verlag,FMX,"[1DDU-GB-ESL,1DDU-GB-ESLC,FMX,FYT]"
16801,Stem: Paper Airplanes: Composing Numbers 1-10,Logan Avery,TEACHER CREATED MATERIALS,YBLC,[]
49587,Five Children and It,Edith Nesbit,WORDSWORTH ED,YFA,[YFH]
10426,Tucket's Ride,Gary Paulsen,DELL CHILDRENS INTL,YFC,[]
36939,Firstborn,Michelle West,DAW BOOKS,FMB,[FMR]
3583,Spettri dei campi,Swonild Ilenia Genovese,Lulu.com,FM,[]
66750,A Tail and Two Wolves,Micaiah Grossmann,Xlibris,YFJ,[]
44197,Brush,Bambi Davis,Xlibris,YFU,[]
28580,First Book of Zyzie,G. Francis Vaisey,Xlibris,FL,[]
63764,The Iliad,Gareth Hinds,"Candlewick Press,U.S.",XADC,[YF]
33517,Batman Is Loyal,Christopher Harbo,PICTURE WINDOW BOOKS,YFZZ,[YFH]
41078,Jamie O'Rourke and the Pooka,Tomie Depaola,PUFFIN BOOKS,YFJ,[]
15167,Sophie & The Forest Bullies: Trouble in Sunshine Forest,Kari Litscher,LIGHTNING SOURCE INC,YXQ,"[YF,YXD]"
38637,The Fairies Tale,Rainey Leigh Seraphine,Wizzenhill Publishing,YFJ,[]
57674,Enter The Penguin,"Steve Barlow, Steve Skidmore",Hachette Children's Group,YFC,[]
72969,"Paciencia, Maria",Rosario Reyes,NEWMARK LEARNING LLC,YF,[]
9036,The Children of Time,Chaiene Santos,INDEPENDENTLY PUBLISHED,YFH,[]
18479,THE MAGIC FOREST,Edward E. Baroody,1st Book Library,FM,[]
66319,Forrorrois,Suzanne Y. Snow,1st Book Library,FL,[]
26856,The Choice,Deborah Snyder,CHRISTIAN FAITH PUB INC,YFK,[]
43032,Dentist Because Freakin Badass Is Not an Official Job Title: Appreciate Your Friend with This Funny ,Dentist Notebook,INDEPENDENTLY PUBLISHED,YF,[]
18601,Pika Bunny Has a Big Question: El Conejito Pika Tiene Una Gran Pregunta,"Wendy Gilhula, Adrianna Allegretti",OAK GROVE PR,YXHB,"[YF,YXE]"
24087,The Middler,Kristy Applebaum,Nosy Crow,YFE,"[5AK,YFC,YFN]"
1486,Kick the Moon,Muhammad Khan,Pan Macmillan,YFN,"[YXQ,YXT]"
7201,Project Manager! Did You Mean Time Wizard: Blank Line Occupation Journal to Show Appreciation to Tha,Thithiajobs,INDEPENDENTLY PUBLISHED,YF,[]
76368,Fractured Stars,Lindsay Buroker,Lindsay Buroker,FLS,[]
65088,Delegate? Did You Mean Badass: Blank Line Occupation Journal to Show Appreciation to That Colleague ,Thithiajobs,INDEPENDENTLY PUBLISHED,YF,[]
8109,The Magic Garden,Gayle Vidal,Inspired Publishing,YFJ,[]
57464,The Penderwicks at Last,Jeanne Birdsall,Random House LCC US,YXHB,"[YFB,YFN,YXF]"
61043,I Can't Imagine,Keri Lynn Nitta,AuthorHouse,YFH,[]
25987,The Adventures of Bubba & Fudd,Thomas P Bubar,AuthorHouse,YFB,[YX]
38197,The Farts of Gratitude,Angie Lake,Sweet Cherry Publishing,YF,[5AH]
72231,"Terror, Passion and Courage",Geoffrey A. Gilbert,AuthorHouse,FJ,[FL]
7028,The Wolf in Sheep's Clothing,Stacy Byers,CHRISTIAN FAITH PUB INC,YFK,[YFQ]
12075,Forbidden Spells 2,Julia Storm,Books on Demand,FMB,[]
29368,Camp Club Girls: Alexis,Erica Rodgers,BARBOUR PUBL INC,YFCF,[YFK]
2399,Super-duper-Rätselspaß,,Edition Michael Fischer,YBG,[YBL]
28302,The Sentient Shield,Helen Frindle,Austin Macauley,FL,[]
63279,Crown of Feathers,Nicki Pau Preto,Black and White Publishing,YFH,[]
72959,The Missing Picture,David Brown,Lulu.com,YFB,[]
52192,Mega Awesome Notebook,Kevin Minor,SCHIFFER PUB LTD,YF,[]
24118,LEENA,Chris Fiedler,epubli,FK,[]
9392,"The Magic Mirror: Branches Book (Once Upon a Fairy Tale #1), Volume 1",Anna Staniszewski,SCHOLASTIC,YFH,[YFJ]
41422,Wonder Tales From Wagner Told For Young People,Anna Alice Chapin,"Kessinger Publishing, LLC",YFU,[]
10789,Sparrow,Scot Gardner,Allen & Unwin,YFB,[YFC]
75867,Ghosts of Hanna,Clarissa Brenan,novum publishing,FB,[]
11550,The Glass Breaks,A. J. Smith,HEAD OF ZEUS,FM,[]
22342,Elbanor,Jürgen Flüchter,Kelebek,FM,[5AQ]
24459,Lustig rieselt der Schnee! Die genialsten Weihnachtswitze,,Ravensburger Verlag,YNU,"[5AJ,5AR,5HPD,WHJ,YF,YNU]"
38523,Öar bland molnen,Peter Hertzberg,Blurb,YFB,[]
663,Penelope's English Experiences,Kate Douglas Wiggin,"Kessinger Publishing, LLC",YFA,[]
52727,H. G. Wells: Der Krieg der Welten,"Richard Steinheimer (Lektorat), Herbert George Wel",INDEPENDENTLY PUBLISHED,FLU,[]
337,The Princess and the Goblin,George Macdonald,Living Book Press,YFJ,[]
14037,Diario di un futuro passato,Andrea Romanato,INDEPENDENTLY PUBLISHED,YFD,[]
53717,Infinite Dendrogram: Volume 3,Sakon Kaidou,J-Novel Club,YFH,[]
58605,Bluthimmel,Dani Brown,epubli,FL,[]
56945,The Wailing Snail,Claire Walker,Austin Macauley,YFU,[]
3425,Fairy Crown,Emily Martha Sorensen,Emily Martha Sorensen,YFH,[]
34125,Beneath the Roots,W. K. Greyling,W.K. Greyling,FMB,[]
14122,A Trip to Mars,Francis A. Andrew,Trafford Publishing,FL,[]
8538,Der Sohn des Drachen,Annika Schuster,Books on Demand,FM,[]
56827,Tervendaja kass,Tuula Pere,Wickwick Ltd,YNNJ22,"[YFP,YNNH2]"
78080,Der kleine Engel Anin,Herr Mann,Books on Demand,WZG,"[FM,WZG]"
10833,Conjuring Zephyr,D. Lieber,Ink & Magick,FMX,[]
52685,Keep Calm and Let the Travel Agent Handle It: It's Like Riding a Bike. Except the Bike Is on Fire. a,Thithiatravelagent,INDEPENDENTLY PUBLISHED,YF,[]
32532,Noble Thief,M. Lynn,INDEPENDENTLY PUBLISHED,YFJ,[]
53100,23 Years Down Forever to Go: Anniversary Notebook for Him or Her 120 Pages Notebook Journal,Thithiaanniversary,INDEPENDENTLY PUBLISHED,YF,[]
68764,Not an Ordinary Student Leader and Still Pressing On!: It's Like Riding a Bike. Except the Bike Is o,Asteriskstudentleader,INDEPENDENTLY PUBLISHED,YF,[]
39680,Le roi de glace / Mkumiey Eleke'wit / The Ice King,Corinne Gallant,LIGHTNING SOURCE INC,YF,[1KBC]
62115,Learning to Live Agian,Emily Kelly,Blurb,FM,[]
8288,Snow Globe Travelers,K. A. Cummins,Eleonora Press,YFG,[]
47549,Black Leviathan,Bernd Perplies,TOR BOOKS,FMB,[]
457,Of Human Hubris,James Kreis,AuthorHouse,FMH,[]
10841,Flat Stanley,Jeff Brown,Egmont UK Ltd,YFA,"[5AG,YFC,YFN,YFQ]"
28976,McFinnia,Pam G Howard,Troubador Publishing,YFH,[5AH]
45173,Chameleon - Omnibus Edition,Adam Stone,Lulu.com,FM,[]
78486,Die Welt der 4 Jahreszeiten Band 2,Melanie Klein,epubli,FM,[]
14640,Práctica de habilidades con laberintos (Laberintos - Volumen 2),Garcia Santiago,Fichas de preescolar,YBG,[]
29916,Actividades con laberintos para preescolar (Laberintos - Volumen 2),Garcia Santiago,Fichas de preescolar,YBG,[]
726,Mates para preescolar (Restar - Nivel Dos),Garcia Santiago,Fichas de preescolar,YBG,[]
57163,Libros de actividades para preescolar (Actividades de aprender a contar para preescolares),Garcia Santiago,Fichas de preescolar,YBG,[]
3696,The ABCs of Yoga for Kids Softcover,Teresa Anne Power,STAFFORD HOUSE,YBLA,[YXAB]
41219,"Uh-Oh, You Have a Goose on Your Roof!",Nancy Devlin,AUTHORHOUSE,YF,[]
28493,Das Tor nach Aquaterra - Band 3,Dora Schönfeld,novum publishing,FB,[]
14750,Trace Shapes Workbook   Toddler-Grade K - Ages 1 to 6,Gusto,Professor Gusto,YBL,[]
60216,TURBO Racers: Trailblazer,Austin Aslan,HarperCollins Publishers Inc,YFC,[YFR]
76905,Le canard et la panthère,Marcel Aymé,Gallimard,YFJ,[5AJ]
74041,Carim,Lena Knodt,Eisermann,FJH,"[FJH,FMH,FMR]"
35892,Akira der weiße Wolfsmensch,Corinna Wagner,Books on Demand,FMB,[5AX]
58455,Return To Wonderland,Fabrizio Russo,INDEPENDENTLY PUBLISHED,FLQ,[]
19688,Cuaderno de ejercicios de números (30 juegos de encontrar las diferencias),Garcia Santiago,Fichas de preescolar,YBG,[]
9577,Me & Mr. Bell,Philip Roy,NIMBUS PUB,YFZR,"[1KBC,YFT]"
24078,Trans Gaia,Frank Kallies,tredition,FB,[]
70372,Cuaderno de actividades para infantil (Fichas de trazar y colorear para mejorar el control del rotul,Garcia Santiago,Fichas de preescolar,YBG,[]
30144,Los mejores libros para niños de 2 años (Diviértete aprendiendo a contar con estos 20 juegos de serp,Garcia Santiago,Fichas de preescolar,YBG,[]
14470,Max & Voltaire Where is Voltaire?,Mina Mauerstein Bail,TOTAL RECALL PUBN INC,YFCF,[]
18622,We Are Bound by Stars,Kesia Lupo,Bloomsbury UK,YFCB,"[5AQ,FMR,YFB,YFHR]"
68509,Libros de aprendizaje para niños de 2 años (Libros para niños de 2 años - Vol. 4),Garcia Santiago,Fichas de preescolar,YBG,[]
16937,Hojas de actividades para niños de 4 años (Fichas con rompecabezas para preescolar Vol 1),Garcia Santiago,Fichas de preescolar,YBG,[]
28737,Hojas de aprendizaje para preescolar (Completa la secuencia de números),Garcia Santiago,Fichas de preescolar,YBG,[]
66017,Fichas preparatorias para preescolar (Hojas de actividades para preescolar),Garcia Santiago,Fichas de preescolar,YBG,[]
19777,My Loch Ness Journey,Marco Kwan Ching Chu,Marco Chu Kwan Ching,YNXF,[YFG]
7415,Fichas de actividades divertidas para niños (Un libro de actividades a todo color para niños de 4 a ,Garcia Santiago,Fichas de preescolar,YBG,[]
66954,Aprendizaje preescolar (Un libro de actividades a todo color para niños de 4 a 5 años - Vol. 1),Garcia Santiago,Fichas de preescolar,YBG,[]
78680,Los mejores libros para bebés (El concepto del espacio,Garcia Santiago,Fichas de preescolar,YBG,[]
39941,Il drago e la principessa - Der Drache und die Prinzessin,Caterina Nikolaus,Annemarie Nikolaus,YFH,[]
72017,ANDARIELS LOS - FLUCH DER UNSTERBLICHKEIT,Benyamen Cepe,epubli,FK,[]
56170,Josefina: Sunlight and Shadows,Valerie Tripp,AMER GIRL PUB INC,YFZR,"[1KBB,YFT]"
48270,Punk Rock,Nick Lubens,epubli,FV,[]
61707,George The Generous Giraffe,Kameron Trumbo,LIGHTNING SOURCE INC,YF,[]
41116,Under the Rainbow,F. Robertson,LIGHTNING SOURCE INC,YF,[]
26971,Darklight 2,Bella Forrest,Nightlight Press,FM,[]
34682,Redemption,S. Usher Evans,"Sun's Golden Ray Publishing, LLC",FMW,[]
9891,"Sam the Man & the Cell Phone Plan, Volume 5",Frances O'Roark Dowell,ATHENEUM BOOKS,YFQ,[YXQ]
15472,Jake the Jack-o'-lantern Jokes,Judy Luca,BOWKER IDENTIFIER SERV S,YFQ,[]
63457,Mahabharata Stories,Deepa Agarwal,HARPERCOLLINS 360,YFJ,[]
40113,Penric's Travels,Lois Mcmaster Bujold,BAEN,FMB,[]
40394,Hojas de aprendizaje para infantil (Dibuja las manecillas del reloj para que muestren la hora correc,James Manning,Simon Hildrew,YBG,[]
53660,O Sino: Maquina do Tempo Nazista,Rogerio Silva,LIGHTNING SOURCE INC,FL,[]
73256,Pam the Puppy and Her Big Ball,Leela Hope,LIGHTNING SOURCE INC,YBLJ,[YFP]
32980,Goldilocks and the Three Bears,Sherry M. Francis,CHRISTIAN FAITH PUB INC,YDP,[YFJ]
66360,Barley and Rye,Rebecca J. Carlson,"Fiction Vortex, Inc.",YFH,[]
24776,The Magic Horse: English-Arabic Edition,Idries Shah,HOOPOE BOOKS,YFH,[YFJ]
66324,Shh. The Baby is Asleep: Your favourite baby animals bedtime story.,"Palmer Niki, Tulleners Ros",LIGHTNING SOURCE INC,YFP,[]
12152,White Rose,Kip Wilson,Houghton Mifflin Harcourt Publishing Company,YFB,[]
54801,Atentamente,César Ibáñez,Lulu.com,YFB,[]
10104,The Humble Seed,Linda Appleby,Linda Appleby,YFB,[YX]
63023,KATAKLYSMATA v,R. VERSCHWUND,epubli,FL,[]
10307,Haunted Championship,Ryan Abbott,LIGHTNING SOURCE INC,YFD,[]
16191,Die Finsternis der Erde,Juliane Hornstein,Books on Demand,FMR,[5AN]
6420,I Am Change,Suzy Zail,Walker Books Ltd.,YFN,[]
16746,When the World Falls Down,Jon Bolitho-Jones,Troubador Publishing Ltd,YFH,[]
17888,Letting Go,Noel G Fedrau,Write On The Rock Press,YFB,[YXE]
51042,Nappy the Pirate Baby,Alan MacDonald,Barrington Stoke,YFQ,"[5AR,YFB,YFC]"
9943,The Happy Song,Siu Williams-Lemi,Loopy Tunes Preschool Music,YFB,[YXE]
9012,"Ti voglio bene, mamma: I Love My Mom - Italian Edition","Shelley Admont, Kidkiddos Books",KIDKIDDOS BOOKS LTD,YFN,[YFP]
71202,Picking Apples,Finley Fraser,BEARPORT PUB CO INC,YPCA21,[YBLJ]
45827,Jésus est un chef Indien,Aleka Waters,Books on Demand,FM,[]
71112,The Watering Can,Marnie Reynolds-Bourque,Fine Art by Marnie,YFB,[YXE]
9569,"Let's Play Mini Golf, Dear Dragon!",Marla Conn,NORWOOD HOUSE PR,YFR,[]
35720,My First Spanish Body Parts Picture Book with English Translations: Bilingual Early Learning & Easy ,Valeria S,LIGHTNING SOURCE INC,YBLN1,[]
57342,Mein Kritzel-Gruselspaß,Lucy Bowman,Usborne Verlag,YBG,"[5HCP,YBL]"
43304,Addestra il tuo drago a seguire le regole: (Train Your Dragon To Follow Rules) Una simpatica storia ,Steve Herman,LIGHTNING SOURCE INC,YXE,[YF]
60188,Evil Emperor Penguin: Winging It,Laura Ellen Anderson,David Fickling Books,XADC,[YF]
52884,The Bully Space Force to the Rescue,Carolyn Spencer,AUTHORHOUSE,YXQ,[YF]
4890,Monsters on a Plane,Zanna Davidson,Usborne Publishing Ltd,YPCA21,"[5AG,4CD,2ACB,YFQ]"
47988,Talking to Alaska,Anna Woltz,Oneworld Publications,YXHB,"[5AJ,YFB,YXE,YXK]"
55613,Lily at Lissadell,Judi Curtin,O BRIEN PR,YFT,[]
10326,"Erziehe deinen Drachen zur Freundlichkeit: (Train Your Dragon To Be Kind) Eine süße Geschichte, die ",Steve Herman,LIGHTNING SOURCE INC,YF,[]
71698,El Ciclo de la Luna Roja Libro 2: Los Hijos de Las Tinieblas,José Antonio Cotrina,DARK HORSE COMICS,YFD,[5HCP]
70923,Earl Dumarest 27: Die Erde ist der Himmel,E. C. Tubb,Atlantis Verlag,FLS,[5JB]
2706,Jouniria,Alexander Eggerling,Books on Demand,FMB,[5AQ]
35579,A Boy from the Valleys,Leon Gordon Moak McAvoy,Austin Macauley Publishers Ltd,FM,[]
14436,Tess Baker: With the Right Ingredients Anything Is Possible,Kathy Leroux,TELLWELL TALENT,YF,[]
2612,The Perfect Sacrifice,Rosa Mayo,CHRISTIAN FAITH PUB INC,YFK,[]
2142,Norag und die Drachenschuppe: Die Ewige Schlacht von Lyrrhantar #6,Hendrik M. Bekker,epubli,FM,[]
18427,Earth & Space: Let's Investigate,Ruth Owen,RUBY TUESDAY BOOKS,YBLJ,"[YNNV,YNNZ]"
15861,What Would It Be Like to Be a King,Thomas Clair Navarrette,ARCHWAY PUB,YFH,[]
77554,STARGATE SG-1 Exile (Apocalypse book 2),"Sally Malcolm, Laura Harper",Fandemonium Books,FJ,[FL]
6478,Scouts,Shannon Greenland,JIMMY PATTERSON,YFCB,[YXHB]
58737,Hannah i su Kabai,Luisette Kraal,Indy Pub,YFB,[]
37011,Pilo,Jason Hales,Targhee Press,YNWG,[YFR]
23446,Baseball Joe Saving The League,Lester Chadwick,Lector House,YNWD3,[YFR]
72855,Queensdaughter,Amanda Ylva,Forest Grove Books,FM,[]
37321,Malbuch für Wölflinge,,Spurbuch Verlag,YBGC,"[5AC,YBL]"
11732,RoboLOVE #3 - Operation: Silver Soul,Martina André,SAGA Books - Egmont,FL,[]
76762,Deadly Little Scandals,Jennifer Lynn Barnes,Disney Book Publishing Inc.,YFCF,[]
5498,Wayside School Is Falling Down,Louis Sachar,THORNDIKE STRIVING READER,YFA,"[YFQ,YFS]"
59879,Follow That Bird,Gina Palomino,Xlibris US,YFJ,[]
77574,When You Need a Friend,Suzanne Chiew,TIGER TALES,YXHB,"[YFP,YXD]"
66493,Der Verlorene Sektor: Die Dimensionsspringer,Nicole Sälzle,Books on Demand,FL,[]
65785,La Tessitrice di Sogni,Isabel Giustiniani,LIGHTNING SOURCE INC,FMT,[]
13973,"Cherry Ames, Veteran's Nurse",Helen Wells,SPRINGER PUB,YFCF,[]
31401,Ben's Rubbish Day,Naomi Webb,Olympia Publishers,YFC,[]
76916,The Progeny of Angels - Book 3,Barbara Dean,The Choir Press,YFG,[]
53393,Warned: a Mei-hua adventure set in Ming Dynasty China,P. a. de Voe,LIGHTNING SOURCE INC,YFCF,[]
10078,"Liebe Pia! Woher ist das Universum, woher die Welt?",Von Opa,epubli,YPJL,[]
57282,Unicorns of the Secret Stable: The Great Unicorn Race (Book 8),Whitney Sanderson,Jolly Fish Press,YFB,[]
71805,A Story About...Us,Noah Turner,Lulu.com,YFK,"[5PGM,YFM]"
25598,ACROPOLIS,Simone Gagnarli,Lulu.com,FL,[]
22353,Die Eichenthron Annalen,P. G. Connor,Books on Demand,FM,[FN]
42184,I Love to Go to Daycare (Malay Children's Book),"Shelley Admont, Kidkiddos Books",KIDKIDDOS BOOKS LTD,YFN,[]
40000,A Wild Day at the Zoo / Tegg'anernarqellria Erneq Ungungssirvigmi - Yup'ik (Yugtun) Edition: Childre,Victor Dias de Oliveira Santos,LIGHTNING SOURCE INC,YFN,[YFP]
17009,You Killed My Wife,George Watson,Tablo Pty Ltd,FF,[FH]
53078,The Novels of Charles Williams,Charles Williams,Benediction Classics,FM,"[5PGM,FW]"
78314,The Twelve Dancing Princesses,Brothers Grimm,Usborne Publishing Ltd,YPCA21,"[5AF,4CD,2ACB,YFJ]"
8859,Vulpes Lupus Canis,"Chenerah ""Kecar"" Gajaze",epubli,FM,[]
75121,Gandorr à la Poursuite de l'Invisible Noak,Jérome Smiel,Books on Demand,FB,"[FM,FP]"
37429,Invasion im Schärengarten,Finn Askårt,tredition,FB,[]
35094,Moonstone,Terry Green,Troubador Publishing,YFB,[5AK]
14026,Sold on Subtraction,Kirsty Holmes,CRABTREE PUB,YBLC,"[JNL,YNTM]"
